Id	pop	system	habitat	ind	sex	species	centroid _size	BD	SL	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17
RuL_15_l_KB_I1_m_0_Abur	RuL	Rusizi_Abur	l	KBI1	m	Abur	84.49867925	23.55258588	59.5374043	-0.28233758	0.016824641	-0.232403327	-0.036970746	-0.22314224	0.028953031	-0.160858971	0.030378824	-0.193883087	0.062477886	-0.191917898	0.001337865	-0.13472037	-0.097038903	-0.027661917	-0.121205837	-0.03609092	-0.07495208	-0.051910699	-0.027165874	-0.081089367	0.059393959	-0.056115172	0.156237406	0.32182638	0.075956074	0.420425208	0.073676074	0.419065823	-0.015284468	0.327739741	-0.034359243	0.183074396	-0.098258608
RuL_15_l_KB_I2_m_0_Abur	RuL	Rusizi_Abur	l	KBI2	m	Abur	91.08947217	26.12087434	64.20025172	-0.286928784	0.019579647	-0.23706108	-0.033603264	-0.228361885	0.032003348	-0.161260271	0.033375986	-0.197371696	0.066914976	-0.192897241	5.22E-04	-0.123339774	-0.101342312	-0.021091342	-0.125688573	-0.027840268	-0.083047489	-0.049989639	-0.028217227	-0.078892852	0.060329713	-0.053304848	0.159447053	0.32099413	0.069959303	0.416108351	0.076654006	0.417095231	-0.010415122	0.322418906	-0.033358275	0.181723061	-0.103113291
RuL_15_l_KB_I3_m_0_Abur	RuL	Rusizi_Abur	l	KBI3	m	Abur	101.1674113	28.5062693	71.09361869	-0.281226013	0.01424654	-0.232481579	-0.044100454	-0.225896907	0.029974349	-0.161654799	0.035726697	-0.194988824	0.067083993	-0.192549023	9.75E-04	-0.134593915	-0.097557835	-0.019079071	-0.122786142	-0.025861578	-0.071294523	-0.044458116	-0.023502397	-0.082650406	0.063585147	-0.071712041	0.154151338	0.324796047	0.071075089	0.41967081	0.069563694	0.420078168	-0.021077167	0.324667872	-0.029957016	0.177939376	-0.096106095
RuL_15_l_KB_I4_m_0_Abur	RuL	Rusizi_Abur	l	KBI4	m	Abur	89.83668323	25.48924077	63.04998093	-0.283885237	0.013369819	-0.23188736	-0.039448248	-0.228390725	0.034565313	-0.161398711	0.0373408	-0.19601216	0.069188098	-0.193740054	5.92E-04	-0.132921581	-0.099420083	-0.020188839	-0.125626285	-0.031178426	-0.07581098	-0.048592285	-0.023447795	-0.085596335	0.053588383	-0.053360481	0.156287832	0.324247509	0.074089024	0.415777466	0.073036104	0.412000804	-0.014289268	0.328281031	-0.034378741	0.186845383	-0.099636378
RuL_15_l_KB_I5_m_0_Abur	RuL	Rusizi_Abur	l	KBI5	m	Abur	88.42278046	23.91834449	62.57260039	-0.287042205	0.011669927	-0.241911204	-0.036889005	-0.225567879	0.030261168	-0.158107883	0.033937229	-0.194495749	0.066067886	-0.191380141	-8.73E-04	-0.123821533	-0.098320066	-0.021436528	-0.116554963	-0.032260174	-0.0742454	-0.050494386	-0.021950535	-0.083521405	0.063306867	-0.064700383	0.150555202	0.319818939	0.065845927	0.418778644	0.065864005	0.419694195	-0.014146126	0.326814113	-0.031777703	0.189633579	-0.092750933
RuL_15_l_KB_I6_m_0_Abur	RuL	Rusizi_Abur	l	KBI6	m	Abur	86.20195482	22.78721379	60.2045605	-0.279599779	0.018007277	-0.237225494	-0.037800263	-0.225263276	0.030934663	-0.161559217	0.032618732	-0.195118961	0.064421702	-0.19175218	2.37E-04	-0.129825555	-0.096861529	-0.024736505	-0.115546574	-0.031521302	-0.074802202	-0.049078758	-0.028433065	-0.092997267	0.062796652	-0.06283089	0.146188859	0.321066494	0.066529766	0.417606537	0.065212182	0.422805759	-0.015531867	0.330186155	-0.027911678	0.189844237	-0.090059754
RuL_15_l_KB_I7_m_0_Abur	RuL	Rusizi_Abur	l	KBI7	m	Abur	84.31244197	22.75309013	58.72272951	-0.283958728	0.014581534	-0.237967107	-0.033576151	-0.228855011	0.0324118	-0.160875883	0.034125417	-0.199146614	0.068304587	-0.195183472	9.48E-04	-0.130899554	-0.098325212	-0.015299431	-0.119218195	-0.030064974	-0.073109266	-0.054382103	-0.030069566	-0.080525298	0.06222728	-0.058856083	0.147229894	0.319600394	0.064941649	0.410774811	0.068364894	0.418418755	-0.010243508	0.328887461	-0.034030585	0.198332838	-0.094562724
RuL_15_l_KB_I8_m_0_Abur	RuL	Rusizi_Abur	l	KBI8	m	Abur	99.22652396	27.38549004	70.03895985	-0.284396102	0.013212734	-0.23048719	-0.040832896	-0.227367702	0.032960635	-0.16282744	0.035962023	-0.196590286	0.06625003	-0.194519849	-2.32E-04	-0.128810253	-0.096979908	-0.019484978	-0.120220713	-0.032310168	-0.073681862	-0.046131581	-0.025230466	-0.085623157	0.059905781	-0.060178393	0.152861167	0.322502686	0.066694279	0.419285569	0.072151584	0.418851549	-0.017505097	0.32941656	-0.030561683	0.178670735	-0.094753295
RuL_15_l_KZ_E2_f_0_Hsta	RuL	Rusizi_Hsta	l	KZE2	f	Hsta	76.25151031	19.65379615	54.10708899	-0.291889825	0.019338341	-0.25212316	-0.037156776	-0.235796695	0.027956886	-0.162184008	0.030412317	-0.199590055	0.064810216	-0.196506696	-0.009983633	-0.120060272	-0.096720011	-0.0136151	-0.112609785	-0.025420157	-0.072167017	-0.040874851	-0.029419016	-0.079835278	0.066626635	-0.048818423	0.142892652	0.331679368	0.066824969	0.416889049	0.061186778	0.415309481	-0.018535332	0.315601362	-0.031234782	0.187235261	-0.072222442
RuL_15_l_KZ_E6_f_0_Hsta	RuL	Rusizi_Hsta	l	KZE6	f	Hsta	62.25347941	15.85882593	45.18086269	-0.295400779	0.010185586	-0.253887151	-0.040458873	-0.233110743	0.021790376	-0.16255723	0.025449406	-0.198630694	0.062222031	-0.194896307	-0.012001805	-0.12483799	-0.092253684	-0.012716241	-0.105405902	-0.020961971	-0.062895298	-0.036610583	-0.017593395	-0.081024274	0.067572625	-0.042973083	0.147820932	0.326518875	0.070089307	0.428825446	0.067043525	0.424099991	-0.024282913	0.296433818	-0.037951927	0.181728917	-0.079329992
RuL_15_l_KZ_E7_f_0_Hsta	RuL	Rusizi_Hsta	l	KZE7	f	Hsta	59.23068166	14.46588001	42.01569437	-0.284255649	0.009623432	-0.248424229	-0.034740638	-0.239408032	0.02382004	-0.165258655	0.025768873	-0.203122261	0.065355862	-0.199323624	-0.014094682	-0.127640282	-0.09045261	-0.016118812	-0.105701142	-0.024648824	-0.065180628	-0.03828799	-0.016452071	-0.0799981	0.063159933	-0.043275883	0.137234777	0.326695166	0.067230976	0.42364693	0.062754263	0.422454837	-0.023966216	0.316969796	-0.032369134	0.17999561	-0.071991036
RuL_15_l_KZ_E8_f_0_Hsta	RuL	Rusizi_Hsta	l	KZE8	f	Hsta	62.78431502	16.16411929	45.19526992	-0.289570814	0.007714813	-0.24104611	-0.043074063	-0.235618191	0.022866959	-0.167034838	0.022704647	-0.201011276	0.059637247	-0.200226765	-0.013266528	-0.125725911	-0.087584291	-0.008953648	-0.102823985	-0.019217889	-0.058840348	-0.036093851	-0.013728998	-0.084737379	0.068430236	-0.053919494	0.150967701	0.319402847	0.068516604	0.429538757	0.053700485	0.426371466	-0.027453571	0.315009937	-0.031667047	0.172833159	-0.076099862
RuL_15_l_KZ_E9_f_0_Hsta	RuL	Rusizi_Hsta	l	KZE9	f	Hsta	61.08628431	15.4377817	43.53410737	-0.283849652	0.010990842	-0.239302118	-0.045492345	-0.239126394	0.027140826	-0.16369243	0.030142844	-0.201637084	0.063817264	-0.199469286	-0.010171101	-0.134193047	-0.087905394	-0.018961368	-0.111724007	-0.023135043	-0.067048067	-0.038054551	-0.01777414	-0.08139234	0.068735415	-0.04521131	0.139788122	0.318475935	0.067885342	0.427300886	0.063146621	0.421893395	-0.021786293	0.318514927	-0.033197421	0.181839479	-0.076548508
RuL_15_l_KZ_F2_f_0_Hsta	RuL	Rusizi_Hsta	l	KZF2	f	Hsta	68.72781523	17.09331003	48.58215207	-0.28922926	0.025915621	-0.242418948	-0.038881723	-0.233694808	0.026291271	-0.166100029	0.026532726	-0.203689672	0.060167091	-0.200667255	-0.008479721	-0.120114456	-0.089276836	-0.012631221	-0.105708181	-0.023322191	-0.073307483	-0.038611254	-0.028674198	-0.083969524	0.067742534	-0.053875471	0.139801577	0.317084836	0.06737476	0.417275172	0.062922329	0.432710472	-0.022530413	0.316151243	-0.034492113	0.185102368	-0.075397242
